type,x,mean_mag
freq_hz,33.0,3.983487976717892e-07
freq_hz,33.5,4.119629094663155e-07
freq_hz,34.0,3.9872021446924074e-07
freq_hz,34.5,4.095905655603944e-07
freq_hz,35.0,4.0984107214632615e-07
freq_hz,35.5,4.038155732937836e-07
freq_hz,36.0,3.875187813851676e-07
freq_hz,36.5,3.7588693255505466e-07
freq_hz,37.0,3.7108611679880307e-07
freq_hz,37.5,3.5534380700605083e-07
freq_hz,38.0,3.353100325913529e-07
freq_hz,38.5,3.3242178999525925e-07
freq_hz,39.0,3.1384717015943815e-07
freq_hz,39.5,3.0682513143404316e-07
freq_hz,40.0,2.7084656371719227e-07
